______________________________________________________________________________

YTD v1.44+                                                   (c) 2009-15 Pepak
http://www.pepak.net/ytd                                  http://www.pepak.net
______________________________________________________________________________

PODPOROVANÍ POSKYTOVATELÉ / SUPPORTED PROVIDERS
-----------------------------------------------

Prosím čtěte poznámky k protokolům RTMP a MS v souboru ytd.cz.txt.
Please read the notes to protocols RTMP and MS in file ytd.en.txt.

------------------------------------------------------------------------------
Poskytovatel        | Protokol | Pozn. | URL
Film.Seznam.cz      | HLS      |       | http://film.seznam.cz
Fishki.net          | HTTP     | 4     | http://fishki.net/comment.php?id=79682
Flickr.com          | HTTP     |       | http://www.flickr.com/photos/landersz/2403626167/
FreeCaster.tv       | multiple |       | http://freecaster.tv/freeski/1012253
FreeRide.cz         | RTMP     |       | http://www.freeride.cz/snowboard/clanky/trix/tricktip-fs-grind-fs-revert-by-honza-smekal--9323/
                    |          |       | http://www.freeride.cz/snowboard/video/freeridecz-karneval-2010-by-shymonkey--9121/
FreeVideo.ru        | HTTP     |       | http://freevideo.ru/video/view/?id=v14445361101
FunnyOrDie.com      | HTTP     |       | http://www.funnyordie.com/videos/544d80e015/where-it-is-fortunately-not-yet
G4TV.com            | HTTP     |       | http://www.g4tv.com/videos/53181/Duke-Nukem-Forever-Launch-Trailer/
GameAnyone.com      | HTTP     |       | http://www.gameanyone.com/game/PC/936.html
                    |          |       | http://www.gameanyone.com/video/88319
GamePark.cz         | HTTP     |       | http://www.gamepark.cz/lineage_2_babylon_371564.htm
GameSpot.com        | HDS      |       | http://www.gamespot.com/e3/microsoft-press-conference-2014/
                    |          |       | http://www.gamespot.com/videos/embed/6419027/
GameZone.com        | RTMP     |       | http://www.gamezone.com/videos/guild-wars-2-cinematic-conversation-trailer
Games.Tiscali.cz    | HTTP     |       | http://games.tiscali.cz/video/zhodnotte-alternativni-pruchod-far-cry-3-dema-z-e3-2011-56300
GodTube.com         | HTTP     |       | http://www.godtube.com/featured/video/jesus-your-co-pilot-or-leader
Gordon.ura.cz       | Nested   |       | http://gordon.ura.cz/?p=1932
GrindTV.com         | HTTP     |       | http://www.grindtv.com/surf/video/surfing_ancientstyle_surfboards_in_peru_wred_bull_team/
Guba.com            | HTTP     |       | http://www.guba.com/watch/3000693318/Pulp-Fiction-Laugh-Track
Hasici150.tv        | RTMP     |       | http://www.hasici150.tv/cz/Media-galerie/Video/Predavani-cen-RWE-_____312/Predavani-cen-RWE-_____1004/
                    | MS       |       | http://www.hasici150.tv/cz/Media-galerie/Video/Plzenska-stovka-2012---serial-CPVK_____210/Plzenska-stovka-2012_____776/
HejbejSe.tv         | HTTP     |       | http://www.hejbejse.tv/video/klip/Petra-4-
Hell.tv             | HTTP     |       | http://www.hell.tv/t/videos/3222/police-brutality-at-the-jefferson-memorial.html
HokejCb.cz          | HTTP     |       | http://www.hokejcb.cz/clanek.asp?id=VIDEO-Podivejte-se-na-sestrih-utkani-s-Kometou-Brno-5679
Hrej.cz             | HTTP     | 5     | http://www.hrej.cz/tv/crysis-2-pribehovy-trailer-cz--1087/
HudebniVideoKlipy.cz| HTTP     |       | http://www.hudebnivideoklipy.cz/chinaski-kerka-119555.html
i-Concerts.com      | HTTP     |       | http://www.i-concerts.com/#/?q=en/concert/black-kids-nme-awards-shows-en
iDnes.cz            | RTMP     |       | http://video.idnes.cz/?c=A110315_160842_zajimavosti_nh&idVideo=V110315_150332_tv_zpravy_kbe
                    |          | 7     | http://hobby.idnes.cz/cesi-griluji-radi-a-spatne-neumi-vybrat-ani-maso-rika-pohlreich-p7z-/hobby-zahrada.asp?c=A110523_110238_hobby-zahrada_mce
iHned.cz            | RTMP     |       | http://video.ihned.cz/c1-44411910-sef-narodniho-muzea-kdyz-zafouka-vitr-vypadne-nam-za-noc-az-deset-oken
                    | HTTP     |       | http://dialog.ihned.cz/komentare/c1-52351350-vondraczech-at-se-urednici-uci-v-jaderne-elektrarne
ILikeBike.cz        | MS       | 4     | http://www.ilikebike.cz/?year=2011&week=11
ima.umn.edu         | RTMP     |       | http://www.ima.umn.edu/videos/?id=1187
iPrima.cz           | RTMP     |       | http://play.iprima.cz/iprima/233409
                    | RTMP     |       | http://play.iprima.cz/all/233409
                    | RTMP     | 4,9   | http://www.iprima.cz/showjanakrause/videoarchiv-brezen-2011/
                    | RTMP     |       | http://www.iprima.cz/videoarchiv/164106
iViewTube.com       | HTTP     |       | http://www.iviewtube.com/videos/182040/beastie-boys-make-some-noise-(official-music-video) 
JenProZeny.cz       | HTTP     |       | http://www.jenprozeny.cz/video/32771-paradni-viral-medvedem
Joj.sk              | RTMP     |       | http://www.joj.sk/anosefe/anosefe-epizody/2011-05-09-ano-sefe-.html
                    |          |       | http://www.joj.sk/sudna-sien/sudna-sien-archiv/2011-05-03-sudna-sien.html
                    | HTTP     |       | http://anosefe.joj.sk/anosefe-epizody/2011-05-16-ano-sefe-.html
KanalTurk.com.tr    | HTTP     |       | http://www.kanalturk.com.tr/video/?vId=13409
Kinobox.cz          | HTTP     |       | http://www.kinobox.cz/porady/video/6273-prednaska-henriho-monforta-21112011
Kiwi.kz             | HTTP     |       | http://kiwi.kz/watch/jiaon54nfybz/
Kontraband.com      | HTTP     |       | http://www.kontraband.com/videos/23388/Failed-Slam-Dunks/
Koukni.cz           | HTTP     |       | http://koukni.cz/95074707
Kukaj.sk            | HTTP     |       | http://www.kukaj.sk/videa/5860/
Laola1.tv           | RTMP     |       | http://www.laola1.tv/en/int/volleyball/cev-mens-olympic-qualification/cev-oq-men-sofia-italy-germany/video/353-2021-84517.html
LenkaFilipova.cz    | HTTP     |       | http://www.lenkafilipova.cz/lf/kytarova_skola18.html
LevelTV.Hrej.cz     | HTTP     | 9,10  | http://leveltv.hrej.cz/include/2012/leden/3/213_rec_serioussam.mp4
LibimSeTi.cz        | HTTP     |       | http://video.libimseti.cz/basket-trosku-jinak/f1ea1c7fcc03?uid=
LiveLeak.com        | HTTP     |       | http://www.liveleak.com/view?i=6f4_1272904024
                    |          |       | http://www.liveleak.com/e/57d_1278546690
LiveVideo.com       | HTTP     |       | http://www.livevideo.com/liveshow/brian3maria
Loupak.cz           | HTTP     |       | http://www.loupak.cz/video/auto-moto/5536-zena-neresi-misto-na-parkovani
Markiza.sk          | HTTP     |       | http://video.markiza.sk/archiv-tv-markiza/dnes/36829
                    |          |       | http://doma.markiza.sk/archiv-doma/rebeli-na-strednej/60667
                    |          |       | http://particka.markiza.sk/archiv.php?vid=65598
Matrix-2001.cz      | HTTP     |       | http://www.matrix-2001.cz/clanek-detail/4650-david-wilcock-enigma-2012/
MC2.sk              | RTMP     |       | http://www.mc2.sk/archiv/benzinaci/20/
MediaSport.cz       | HTTP     | 4     | http://www.mediasport.cz/rally-cz/video/09_luzicke_cerny_rz1.html
MegaVideo.com       | HTTP     |       | http://www.megavideo.com/?v=2MJBY4HB
                    |          |       | http://www.megavideo.com/v/HF2OV2PPf800ca3bd438e6d30c2490a75932d6331
MetaCafe.com        | HTTP     |       | http://www.metacafe.com/watch/4577253/kick_ass_release_trailer/
Metoo.cz            | MS       |       | http://www.metoo.cz/tvstream/play/532
Metoo.sk            | MS       |       | http://pohoda.metoo.sk/pohoda2011-fibernet/?relacia=cluster
                    |          |       | http://www.metoo.sk/voicestv?relacia=vl26-sto-much-stratasoul-bene-sewologylab
                    | RTMP     |       | http://www.metoo.sk/vychodna2012?relacia=vrchovska
Metropol.cz         | HTTP     |       | http://www.metropol.cz/porady/prazeni/282/archiv/
                    |          |       | http://www.metropol.cz/zpravy/z-prahy/tradicni-plavecky-zavod-otuzilcu-startuje-v-1100/
MetroProjekt.cz     | HTTP     |       | http://www.metroprojekt.cz/cz/aktualne/metro-d/metro-d-animace.html
Mixer.cz            | HTTP     |       | http://www.mixer.cz/1/41102-video-games
MojeTelevize.cz     | HTTP     |       | http://mojetelevize.mojetelevize.cz/kanal/spoty-klientu/ski-areal-spicak/
                    |          |       | http://adra.mojetelevize.cz/kanal/projekty/sri-lanka/
MojeVideo.cz        | HTTP     |       | http://mojevideo.cz/view.php?id=5332
MojeVideo.sk        | HTTP     | 8     | http://www.mojevideo.sk/video/6227/krasa_nasej_planety_v_hq.html
Mpora.com           | HTTP     |       | http://video.mpora.com/watch/xfnGGmZDC/
MTV.com             | RTMP     |       | http://www.mtv.com/videos/movie-trailers/602324/mega-shark-vs-crocosaurus.jhtml
                    |          |       | http://media.mtvnservices.com/mgid:uma:video:mtv.com:602324
MULitvinov.cz       | HTTP     |       | http://www.mulitvinov.cz/videa-aktualne/gs-14455/p1=63583
Multimedia.vse.cz   | MS       |       | http://multimedia.vse.cz/media/Viewer/?peid=e847bd00891e47389492f06651a0a7761d
MustWatch.cz        | HTTP     |       | http://www.mustwatch.cz/film/reel-bad-arabs
Muvi.cz             | HTTP     |       | http://www.muvi.cz/klip/344-jak-otevrit-vino-bez-vyvrtky-vasi-botou-22-bota-misto-vyvrtky
Muzu.tv             | HTTP     |       | http://www.muzu.tv/elizarickman/cinnamon-bone-music-video/670078?country=cz
MySpace.com         | RTMP     |       | http://vids.myspace.com/index.cfm?fuseaction=vids.individual&videoid=63620005
Myubo.sk            | HTTP     |       | http://www.myubo.sk/page/media_detail.html?movieid=deac5b36-9efe-4176-a1e9-01088aa24696
Myvi.ru             | HTTP     |       | http://www.myvi.ru/watch/Zombi-v-Nu-Jorke_OHf1cAW_qEa_zOS60X7LRw2
                    |          |       | http://myvi.ru/ru/flash/player/pre/oQ_uJCGiADipN8mzgriJzJrAJsecK5PYnBZErn47vhimBnv5c3zTqNrrV3chb6TFH0
N-joy.cz            | HTTP     |       | http://n-joy.cz/video/shank-5-minut-hrani/il18d8bbuynet5gk
                    |          |       | http://n-joy.cz/right-now/video/honza-b/psvfmt8b61ghlgg4
                    |          |       | http://n-joy.cz/right-now/audio/vera-spinarova/2zpSLkXoR5IteMyC
                    |          |       | http://n-joy.cz/audio/vera-spinarova/2zpSLkXoR5IteMyC
NaHnoji.cz          | HTTP     |       | http://nahnoji.cz/watch_video.php?v=UBMX421YR7ON
                    |          |       | http://nahnoji.cz/player/embed_player.php?vid=7103
NaStojaka.cz        | HTTP     |       | http://www.nastojaka.cz/321-risa-nedved-kouzelnik-i.aspx?aut=R%C3%AD%C5%A1a+Nedv%C4%9Bd
Natabanu.com        | HTTP     |       | http://www.natabanu.com/serija/karadayi/23101-karadayi-epizoda-55.html
NavratDoReality.cz  | HTTP     |       | http://navratdoreality.cz/?p=view&id=5766
NBC.com             | RTMP     |       | http://www.nbc.com/classic-tv/miami-vice/video/pilot/213020/
NebickoVPapulke.sk  | HTTP     |       | http://www.nebickovpapulke.sk/epizoda/epizoda-26-sisi-bardejov
News.BBC.co.uk      | MS       |       | http://news.bbc.co.uk/player/nol/newsid_7300000/newsid_7306100/7306107.stm?bw=bb&mp=wm&asb=1&news=1&ms3=54&ms_javascript=true&bbcws=2
NHL.com             | HTTP     | 9     | http://video.nhl.com/videocenter/console?hlp=8474138&fr=false
NothingToxic.com    | HTTP     |       | http://www.nothingtoxic.com/media/1279921781/Bad_Doggie_Eats_An_Entire_Swiffer_Mop
Nova.cz             | RTMP     | 8     | http://voyo.nova.cz/product/zpravy/30076-televizni-noviny-28-7-2012
                    |          |       | http://vikend.nova.cz/clanek/novinky/vikend-20-3-sedmimilove-boty.html
                    | MS       | 8     | http://voyo.nova.cz/product/filmy/26894-testovaci-video-okresni-prebor-16
NovaPlus.Nova.cz    | HLS      |       | http://novaplus.nova.cz/porad/dokonaly-svet/video/1735-dokonaly-svet-1-dil-vanoce-v-karibiku
NovaMov.com         | HTTP     |       | http://www.novamov.com/video/i0d0yi9eqw2yj
                    |          |       | http://embed.novamov.com/embed.php?width=600&height=480&v=h3lbk4hti5l97
Novinky.cz          | HTTP     |       | http://video.novinky.cz/video/doporucujeme/?videoId=10869&page=1
                    |          |       | http://www.novinky.cz/zena/vztahy-a-sex/217423-jak-prekonat-manzelske-krize.html
NRSR.sk             | RTMP     |       | http://mmserv2.nrsr.sk/NRSRInternet/Rokovanie/709/
Ocko.tv             | HTTP     |       | http://ocko.tv/video/particka-hd-4457/
OK-Team.cz          | HTTP     |       | http://ok-team.cz/sekce/tajemstvi/tajemstvi.php?taj=architekt
Online.hokej.cz     | RTMP     | 9     | http://online.hokej.cz/?date=2012-01-20&video=69421
OptoMedia.cz        | MS       |       | http://vox.optobone.cz/prazdniny/index.php?sekce=1&idw=2551&article
Osobnosti.cz        | HTTP     |       | http://videoklip.osobnosti.cz/kristyna-leichtova--zpoved
OverStream.net      | HTTP     |       | http://www.overstream.net/view.php?oid=uinsn9n7uomx
                    |          |       | http://www.overstream.net/swf/player/oplx?oid=m8t4s4uzibl0
Own3D.tv            | HTTP     |       | http://www.own3d.tv/stream/927952
PBS.org             | HTTP     |       | http://www.pbs.org/newshour/bb/world/jan-june11/libya_03-08.html
PCPlanets.com       | HTTP     |       | http://www.pcplanets.com/videos-225353-Bamboo.shtml
PicSpoon.com        | HTTP     |       | http://www.picspoon.com/videos/link/benny_the_bull_day_at_the_mall.php
Play.fm             | HTTP     |       | http://www.play.fm/recording/bbcradio1essentialremixbymarkronson2007010772264
PlayWire.com        | RTMP     |       | http://cdn.playwire.com/343/embed/28047.html
PlayZone.cz         | RTMP     |       | http://www.playzone.cz/tv/tankodrom/tankodrom-16
Polar.cz            | HTTP     |       | http://www.polar.cz/archiv/video/regionalni-zpravy-polar-18-01-2013-09-00
PracticalMethod.com | HTTP     |       | http://practicalmethod.com/lang/en/2011/03/upper-and-lower-body-coordination-online-video-trailer/
PrahovaHD.ro        | RTMP     |       | http://live.prahovahd.ro/playondemand.php?server=193.238.58.18&playfile=food.mp4&subtitrare=http://live.prahovahd.ro/food.srt&categ=Documentare&subcateg=Film
PrazdninyVTelci.cz  | MS       |       | http://www.prazdninyvtelci.cz/cast/?sekce=1&idw=376
Prima-Cool.cz       | HTTP     |       | http://www.prima-cool.cz/video/drsnejsi-simpsonovi
Proglas.cz          | MS       |       | http://www.proglas.cz/audioarchiv-detail/cteni-na-pokracovani/don-bosco.html
ProstoPleer.com     | HTTP     |       | http://prostopleer.com/tracks/503102372y2
                    |          |       | http://prostopleer.com/#/tracks/503102372y2
PublicTV.cz         | HTTP     |       | http://www.publictv.cz/cz/menu/3/videoarchiv/clanek-535-re-play/1718/
                    |          |       | http://www.publictv.cz/videoarchiv/535/1718/
Qip.ru              | HTTP     |       | http://file.qip.ru/embed/141785477/17228276
Raajje.tv           | HTTP     |       | http://www.raajje.tv/video/991/president-anni-diving
Rajce.iDnes.cz      | HTTP     |       | http://pso.rajce.idnes.cz/Koncert_28._10._2011_v_Semilech/
Reflex.cz           | HTTP     |       | http://www.playzone.cz/tv/tankodrom/tankodrom-16
Revver.com          | HTTP     |       | http://www.revver.com/video/2378230/super-mario-bros-2-on-the-nes-level-x/
RingTV.com          | HTTP     |       | http://www.ringtv.com/video/frankie_gomez_training/
RockstarGames.com   | HTTPS    |       | https://tv.rockstargames.com/videos/view/id/3E0BA6CD17179520
                    | HTTP     |       | http://www.rockstargames.com/IV/#?page=johnnyKlebitz&content=video0
Rozhlas.cz          | HTTP     |       | http://prehravac.rozhlas.cz/audio/2483476
                    |          |       | http://www.rozhlas.cz/default/default/rnp-player-2.php?id=2332250&drm=1
RozzlobeniMuzi.com  | HTTP     | F     | http://www.rozzlobenimuzi.com/?linkid=23073-konec_sikany.htm
RTA.cz              | MS       |       | http://www.rta.cz/?article=140331
                    |          |       | http://www.rta.cz/rta_stream_wmv/tvframe1.html?id_item=10046739
Rtl.be              | HTTP     |       | http://www.rtl.be/videos/video/456817.aspx
Rtl.nl              | MS       |       | http://www.rtl.nl/xl/#/u/e6820785-1c71-381e-a3fa-37c6acc343b9/
                    |          |       | http://www.rtl.nl/system/s4m/xldata/uuid/e6820785-1c71-381e-a3fa-37c6acc343b9.xml
RTVS.sk             | RTMP     |       | http://www.rtvs.sk/televizia/program/detail/4686/milujem-slovensko/archiv?date=17.05.2013
RuTube.ru           | RTMP     |       | http://rutube.ru/video/54477e8b005020d309ef371dff690eb3/
                    |          |       | http://bl.rutube.ru/c327d57926a628644fad3bc36d81ad08
                    |          |       | http://video.rutube.ru/c327d57926a628644fad3bc36d81ad08
                    |          |       | http://rutube.ru/trackinfo/c327d57926a628644fad3bc36d81ad08.html
                    | HDS      |       | http://rutube.ru/video/fe3300d02a3c2058cbffece783c43997/
                    |          |       | http://rutube.ru/player.swf?hash=5936573
SchoolOfCare.ru     | HTTP     |       | http://schoolofcare.ru/masha/339/
Serial-Online.cz    | HTTP     |       | http://www.serial-online.cz/afery/afery-7.aspx
SerialyCZ.cz        | HTTP     |       | http://www.serialycz.cz/2011/01/chuck-04x12/
SevenLoad.com       | HTTP     |       | http://en.sevenload.com/shows/Food-Drink/episodes/4YXLHBt-How-To-Make-Elegant-No-Bake-Cheesecake
ShackNews.com       |          |       | http://www.shacknews.com/file/29576/minecraft-xbox-live-trailer
Sibnet.ru           | HTTP     |       | http://video.sibnet.ru/day/20120803/video654319-The_mp3_experiment_8/
                    |          |       | http://video.sibnet.ru/video654319-The_mp3_experiment_8/
Sme.sk              | HTTP     |       | http://www.sme.sk/c/5796529/policia-mozno-bankomatovemu-gangu-zachranila-zivot.html
                    |          |       | http://tv.sme.sk/v/19916/spojenci-ostreluju-kaddafiho-tanky.html
Smotri.com          | HTTP     |       | http://smotri.com/video/view/?id=v203531694dc#as
Snotr.com           | HTTP     |       | http://www.snotr.com/video/4280
SoundCloud.com      | HTTP     |       | http://soundcloud.com/ubi_irina/1-campaign-menu
Spike.com           | HTTP     |       | http://www.spike.com/video/prince-of-persia/3355664
Sport.cz            | HTTP     |       | http://fotbal.sport.cz/clanek/183261-video-wenger-si-oddechl-rosicky-mel-jen-slaby-otres-mozku.html
SportStream.cz      | RTMP     |       | http://www.sportstream.cz/rooney-uz-zase-strili-dulezite-goly
Stagevu.com         | HTTP     |       | http://stagevu.com/video/jomxdgbvxnip
